"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"Row60",0.0258198889747161,-0.00217926750984498,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row61",0.0258198889747161,0.000786980594214566,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row62",0.0258198889747161,-0.0012212177297917,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row63",0.0258198889747161,-0.00091797943070148,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row64",0.0258198889747161,-0.00193536220962711,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row65",0.0258198889747161,-0.00136750929644651,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row66",0.0258198889747161,-0.000706300065318868,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row67",0.0258198889747161,-0.000589138930112912,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row68",0.0258198889747161,0.00112995011518988,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row69",0.0258198889747161,0.00176887894810378,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row70",0.0258198889747161,0.000382151827064807,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row71",0.0258198889747161,-0.00203816290245596,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row72",0.0258198889747161,-0.00406354907178092,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row73",0.0258198889747161,0.000518113524819481,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row74",0.0258198889747161,-0.00240202619672495,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row75",0.0258198889747161,-0.0024030599588518,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row76",0.0258198889747161,0.00110911027321631,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row77",0.0258198889747161,-0.00037414279011734,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row78",0.0258198889747161,0.000965528077488206,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row79",0.0258198889747161,-0.00216047395342969,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row80",0.0258198889747161,-0.00349979877400712,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row81",0.0258198889747161,-0.00310269354295152,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row82",0.0258198889747161,0.001589300734148,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row83",0.0258198889747161,-0.000334873664266693,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row84",0.0258198889747161,-0.000512967881166939,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row85",0.0258198889747161,-0.0017620372744243,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row86",0.0258198889747161,-0.00283586444542778,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row87",0.0258198889747161,0.000418617111656197,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row88",0.0258198889747161,-0.00146108761131069,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row89",0.0258198889747161,-3.4376897349578e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row90",0.0258198889747161,-0.00187906424762078,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row91",0.0258198889747161,-0.00134940832125539,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row92",0.0258198889747161,-0.000741015391738538,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row93",0.0258198889747161,0.00102129563317214,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row94",0.0258198889747161,-0.00233071808692447,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row95",0.0258198889747161,-0.00313415801785885,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row96",0.0258198889747161,0.000111850453630804,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row97",0.0258198889747161,-0.0016805796945542,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row98",0.0258198889747161,0.000196277478568934,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row99",0.0258198889747161,-0.000173882416498174,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row100",0.0258198889747161,0.0181229044996366,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row101",0.0258198889747161,0.0175628859727631,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row102",0.0258198889747161,0.0181774759539638,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row103",0.0258198889747161,0.0176997526805114,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row104",0.0258198889747161,0.017841902700799,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row105",0.0258198889747161,0.0168069711602845,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row106",0.0258198889747161,0.0153844504091031,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row107",0.0258198889747161,0.0170680789632747,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row108",0.0258198889747161,0.0178105023311432,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row109",0.0258198889747161,0.018410406372183,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row110",0.0258198889747161,0.0174162989091385,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row111",0.0258198889747161,0.018268337270625,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row112",0.0258198889747161,0.0175383312800242,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row113",0.0258198889747161,0.0164953930764382,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row114",0.0258198889747161,0.0172908558681823,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row115",0.0258198889747161,0.0189497633463635,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row116",0.0258198889747161,0.0159074187839297,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row117",0.0258198889747161,0.0188132525057244,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row118",0.0258198889747161,0.0187189021198368,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row119",0.0258198889747161,0.0188128442886013,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row120",0.0258198889747161,0.0181064628889638,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row121",0.0258198889747161,0.0190673539306129,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row122",0.0258198889747161,0.0191205936006692,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row123",0.0258198889747161,0.0173039653458074,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row124",0.0258198889747161,0.0168920261758006,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row125",0.0258198889747161,0.0175092795688988,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row126",0.0258198889747161,0.0165450464194847,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row127",0.0258198889747161,0.0166498177506001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row128",0.0258198889747161,0.0162529856648932,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row129",0.0258198889747161,0.0180746120956167,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row130",0.0258198889747161,0.017850203337135,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row131",0.0258198889747161,0.0191081170735741,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row132",0.0258198889747161,0.019250075167063,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row133",0.0258198889747161,0.0198711132187809,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row134",0.0258198889747161,0.0191144630325977,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row135",0.0258198889747161,0.0164257102071783,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row136",0.0258198889747161,0.0194883508190149,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row137",0.0258198889747161,0.0194698735305112,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row138",0.0258198889747161,0.0189648576564296,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row139",0.0258198889747161,0.020866588410976,-0.000922137389501961,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row140",0.0258198889747161,0.0163842091489907,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row141",0.0258198889747161,0.0161377802739264,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row142",0.0258198889747161,0.0178441983669956,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row143",0.0258198889747161,0.0167453946493251,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row144",0.0258198889747161,0.0162757951606417,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row145",0.0258198889747161,0.0176032910415999,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row146",0.0258198889747161,0.0182047393646353,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row147",0.0258198889747161,0.0135301383116498,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row148",0.0258198889747161,0.0188328239103294,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row149",0.0258198889747161,0.0198163372092976,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row150",0.0258198889747161,0.015643684787069,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row151",0.0258198889747161,0.0154085449464715,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row152",0.0258198889747161,0.0190550512802961,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row153",0.0258198889747161,0.0173320633755477,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row154",0.0258198889747161,0.0159058895353152,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row155",0.0258198889747161,0.0181821340270359,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row156",0.0258198889747161,0.0164136489664396,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row157",0.0258198889747161,0.0164252358179477,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row158",0.0258198889747161,0.0163995452100975,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row159",0.0258198889747161,0.0183222201018914,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row160",0.0258198889747161,0.0175146204094264,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row161",0.0258198889747161,0.0179337657788367,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row162",0.0258198889747161,0.0188983007317136,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row163",0.0258198889747161,0.0187883753450382,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row164",0.0258198889747161,0.0180626200362093,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row165",0.0258198889747161,0.015025444782914,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row166",0.0258198889747161,0.0158837135408235,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row167",0.0258198889747161,0.0170678251256891,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row168",0.0258198889747161,0.0174377007556061,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row169",0.0258198889747161,0.0178370631565916,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row170",0.0258198889747161,0.0186424087228831,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row171",0.0258198889747161,0.0171670394344915,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row172",0.0258198889747161,0.0189355489790743,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row173",0.0258198889747161,0.0187808545302878,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row174",0.0258198889747161,0.0186241080906821,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row175",0.0258198889747161,0.0188740568187958,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row176",0.0258198889747161,0.0156729096872288,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row177",0.0258198889747161,0.017398186394989,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row178",0.0258198889747161,0.0161044188354377,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row179",0.0258198889747161,0.0159355043392827,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row180",0.0258198889747161,0.0198281343824216,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row181",0.0258198889747161,0.0177821451138503,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row182",0.0258198889747161,0.0185370725364987,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row183",0.0258198889747161,0.0159216960219415,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row184",0.0258198889747161,0.0154030961020917,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row185",0.0258198889747161,0.0189491222730178,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row186",0.0258198889747161,0.0197693601841838,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row187",0.0258198889747161,0.016454865376251,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row188",0.0258198889747161,0.0181283103241431,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row189",0.0258198889747161,0.0170294393381651,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row190",0.0258198889747161,0.0172627650700291,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row191",0.0258198889747161,0.0171049753841226,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row192",0.0258198889747161,0.0174877579337881,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row193",0.0258198889747161,0.0161997663912237,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row194",0.0258198889747161,0.0147525903823657,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row195",0.0258198889747161,0.0160326804389688,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row196",0.0258198889747161,0.0171435612771102,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row197",0.0258198889747161,0.0178097955204063,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row198",0.0258198889747161,0.0184823235019846,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row199",0.0258198889747161,0.0168514403894555,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row200",0.0258198889747161,-0.0193638266460987,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row201",0.0258198889747161,-0.0189909559982758,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row202",0.0258198889747161,-0.0177512636931514,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row203",0.0258198889747161,-0.0178978098606941,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row204",0.0258198889747161,-0.0169747326526535,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row205",0.0258198889747161,-0.0165105200369647,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row206",0.0258198889747161,-0.0184208687010456,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row207",0.0258198889747161,-0.018299998262645,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row208",0.0258198889747161,-0.0196285709549267,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row209",0.0258198889747161,-0.0160470848084815,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row210",0.0258198889747161,-0.0158404359892549,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row211",0.0258198889747161,-0.0200493383157612,0,0.00276795009934379,0,0,0,0,0,0,0,0,0,0,0,0
"Row212",0.0258198889747161,-0.0187185514501765,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row213",0.0258198889747161,-0.0163617671354624,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row214",0.0258198889747161,-0.0170415673667915,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row215",0.0258198889747161,-0.0169679545235562,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row216",0.0258198889747161,-0.0179215166678803,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row217",0.0258198889747161,-0.0160623343511094,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row218",0.0258198889747161,-0.0192509489227704,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row219",0.0258198889747161,-0.0209118931333495,0,0.0043058665950817,0,0,0,0,0,0,0,0,0,0,0,0
"Row220",0.0258198889747161,-0.016730809382447,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row221",0.0258198889747161,-0.0186135919580263,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row222",0.0258198889747161,-0.0204111746050793,0,0.0033999854456017,0,0,0,0,0,0,0,0,0,0,0,0
