"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"Raw0",0.0110443399012149,0.103041969110923,0.000728810280195064,0.0367952637338697,-0.0236802668587113,0.0083448537602569,-0.0211778332664161,0.0366173951168582,-0.0126171640518306,0.0122523144978386,0.0237800577955551,-0.0112354423038539,-0.0200080418041217,0.0356466305846433,-0.0558556426145588,-0.0322119790155244
"Raw1",-0.0185368169559239,-0.0902711702206231,0.0268743105599441,0.029664725993009,-0.0395884879560466,-0.0414036166264103,0.00643297952596544,0.057580180064671,0.0148875745383051,-0.0307042627894227,0.0501701423842359,0.00162918736079775,-0.0396113595701893,-0.0135775739541221,-0.065920858491607,-0.0284198170347781
"Raw2",0.017935960180536,-0.00334799188389448,-0.0177956956336933,-0.0492096888669024,0.00329455282039234,0.0142563583863592,0.0230962760913618,0.0265192859738562,-0.0047956955467447,0.0442525388807211,0.0278155164761497,0.0229825054415487,0.0316740844823554,0.0485833580230291,0.00329475884080976,0.0101193691485608
"Raw3",-0.0935756330531763,-0.0117975480934884,-0.0225069819332486,0.020384034149625,-0.0148187962693404,-0.0113606412851397,-0.0510599503135247,-0.027034825422658,-0.0325720764622055,-0.00761428817252821,0.02040969828392,-0.0284743722843986,0.0110347096284395,-0.00589068291348076,0.0351926704224785,-0.0184614371442377
"Raw4",0.0552076385994432,0.000297677325226026,-0.0536417659353084,-0.0166397850352071,0.0010456460446474,-0.0253665702338477,0.0117702645826799,-0.0296070705717246,-0.103782037872323,0.127639783100421,0.0608780349551947,0.00346816617666842,0.0135339797180866,0.0986849707323829,0.0928078554154153,-0.00998636563405658
"Raw5",-0.0384048566482295,-0.0657490495442964,-0.0326348290531767,0.0220748741626328,-0.0130436532085796,0.00891596208123695,0.00884210221344242,0.0688583482708875,-0.0115824544892845,0.0180363197097215,0.0276397883022197,-0.0454312592409767,0.0508011318952066,0.0198841812982729,-0.0399206062900174,-0.00363273809945855
"Raw6",0.103306586712531,0.00661693840024287,0.0562381849666105,0.0301169966362043,-0.0159099804864776,0.0282698070259974,-0.0503358436110598,-0.0164645856146807,0.0470353468528627,0.0488100160859185,0.0734739509713567,-0.0241760300470212,-0.00989358719178682,0.0382326762056395,-0.00866372283887158,0.0823641125548069
"Raw7",0.0246354372450509,-0.0752989205280008,0.00381565891841011,0.0831345947887308,0.0459282648732528,-0.0088930272956676,0.0029543575964456,0.0696990844324066,-0.0398097421130585,-0.0595618061478422,-0.0611332315868537,0.0280340973608272,-0.0084357884944978,-0.083435049524583,-0.0255595117707558,-0.033408680424772
"Raw8",-0.0582299236476699,0.0393540577351728,0.110225670499655,0.0491893238818971,0.0155277028502102,-0.0413453891230575,-0.0290872278600932,-0.0235212062358206,-0.0273944916596855,0.0217651126934659,-0.00595990257571931,-0.0233584271917336,-0.0217073042807809,0.0248633239285006,-0.0391822883804643,-0.0650447615283803
"Raw9",-0.0611471858417442,-0.0175001527672204,0.0471373538583499,-0.0109880767907865,-0.0672840212242509,-0.0206988081004138,0.0206376159801981,0.0472759737182345,-0.0429434511941738,-0.0338865329089259,0.00811345706409285,0.0392734566457692,-0.0746871902449074,-0.0782550125456278,-0.0803143020197898,-0.0314640794249128
"Raw10",-0.00909444681555305,0.119881348289628,-0.00674781080528364,-0.0287001647251307,0.00176697208810682,0.0490501371081719,-0.0990949955776079,-0.0122970681817682,-0.00721369961675047,0.0112245266487984,-0.0130901693732958,-0.0396083007771017,-0.0328287853270913,-0.019920864558793,0.0348497831732992,0.0523664676035054
"Raw11",-0.0490943689653479,-0.0154789821161694,-0.0117220036982168,-0.00695018800251073,-0.0121276006485312,0.0432896840339723,-0.0294723277739575,-0.0240768298814597,-0.0137903589727631,-0.00766021079797766,-0.00979671304518294,-0.0329822247158724,0.0179666331011578,-0.00236064805723795,0.0272245040751768,-0.0140210437745654
"Raw12",-0.0238558868035812,0.00924795498022769,0.00958170166593521,0.0208258529243874,0.0525236099076971,0.0192331990924542,0.0341501629053412,0.0201545018593424,-0.0558411242476297,0.0421661644028646,-0.142924913750254,0.0364623386052057,-0.0301062447761419,0.0331032341343379,0.0265489218639927,-0.0375520881985959
"Raw13",-0.128502726015334,0.0890494939331873,-0.0173448264654575,0.0118321992750156,-0.0493322243989181,-0.028663919554923,0.00291636996896646,-0.0982834131971562,0.0550745764241271,-0.0516131861063096,0.0176140996655382,0.00021220402831807,-0.0266182990534433,-0.0200970560944043,-0.0387416450407566,-0.0283504495371477
