"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18"
"Raw0",0.00530351899689083,-0.115240357071119,0.0955435190033889,0.00987618911574075,-0.0375928138681994,0.0397615692405196,0.0159490959146733,0.0440957011079113,-0.0310089386764468,-0.0246684568965043,-0.00121090046237576,-0.0576098712299776,0.0228792126723614,0.0219146975088536,-0.033376230090536,-0.0567819048132468,-0.0264570716740076,-0.0305788400896785
"Raw1",-0.0194137634897077,0.0812210198374949,-0.108074402083034,0.0839180601839344,0.00881598205767348,-0.0120926777445751,-0.0466106120714645,0.01078730779496,0.0179880243903309,-0.0799963603225322,0.0560104059760264,0.0377825618058492,-0.00102392555847827,-0.0112641909988733,-0.0145723429418646,0.054264785221922,0.0578557912134838,-0.0369625582972047
"Raw2",0.0158222000164997,0.0201537155730897,-0.00414154596764848,-0.0142790549593918,-0.0388726436575032,4.60911127981598e-05,-0.0372514762157763,0.00481356391330557,-0.00563864714892893,0.0594882213458,0.0462931674132123,0.033221175715992,-0.0453875906114067,-0.0311131591286279,0.00693437896411621,-0.0361775624698592,-0.00266025071474622,0.0171335953716493
"Raw3",-0.0990664602351862,0.0226698560814854,-0.026646731486932,0.000439267724730447,-0.0158474220553489,-0.022442533963256,0.015063654310349,-0.0103318805097386,-0.0106347352595186,0.0301064706900242,0.0501313529541615,0.00363218322863075,-0.0205517915916908,0.0566068129399355,-0.0585366378431878,-0.0954930533374874,-0.055073587501554,0.0239203376888775
"Raw4",0.0511525814302631,0.000303461838800651,0.032174619382227,-0.0180831835761627,-0.0476442447074726,-0.0409581203322737,-0.00693914845354668,3.06946104830503e-05,-0.0178653985065936,0.0676326588383628,-0.0464217131241103,0.0602409916989129,0.0149358961691651,0.0337740223485043,-0.0380173305397846,0.0176169308999452,0.0160094598387318,0.0080585673240913
"Raw5",-0.026946901336898,0.0557484221616877,-0.045095594802318,0.0326065564455052,0.00431293735433115,-0.0458520502069377,0.0139238155196419,0.0152939705462852,-0.0154599582998235,-0.0387578234400522,-0.0143560970654767,0.044103476135544,0.0311418514406868,0.0312945912804388,-0.0541199359831889,0.0166622660305581,0.0425749833895542,-0.0287064246935525
"Raw6",0.0825815089878898,-0.0144023551047014,-0.0101466329018886,0.014415285458661,-0.0346445032955335,0.0638676229547321,-0.0228080930142205,-0.00116441785243749,-0.0177635269651633,0.0443434052121309,-0.152650571699529,-0.0663855034789219,0.0353726964783083,0.0350923164765869,-0.048002228935208,0.126651670595714,0.0142115996305622,-0.0406210874400619
"Raw7",0.0212921082799262,0.0521495176810807,-0.0770797581221229,0.106161924975253,-0.0308972087444016,-0.0380579025177772,0.0100247013652135,0.0521605052482187,-0.0432778605336258,-0.102698851455896,-0.0129233522714239,0.00888642628591371,0.0181642657990175,0.025352639198305,-0.00128377503848112,0.0716189845945251,0.0171870500210269,-0.0258729385269752
"Raw8",-0.0582586377748962,-0.0461418189240237,-0.00839037802879273,0.033404711069355,-0.036584562361794,0.0858938314008544,-0.0195519780520457,-0.00785692450262118,0.0314103218267759,-0.00564869441733697,-0.02230316274548,-0.103845559169006,0.0661491134538873,-0.0600712114460125,0.063110570389071,0.00348822762903532,-0.0199167652930123,-0.038494147700529
"Raw9",-0.0626467703233168,0.0121783058975526,-0.0388538805634431,-0.0161468474545023,0.053325151084605,0.049111209795922,-0.0774931994551412,0.00808078303938037,-0.0435286129923807,-0.0567345432150607,-0.0189758553821393,0.0192006186260251,0.0197674430806777,0.104637132689376,-0.0968313189705877,0.0423294834592494,-0.00746692167932586,0.0427507411700219
"Raw10",-0.0172729375490577,-0.0755619150044702,0.0760710573703626,-0.0911708746102469,0.0342279966638949,0.0767621881831859,0.0130703390899881,-0.0313380051689473,0.0201604506864565,0.083649487788945,-0.0190933842629391,-0.124172741111728,0.0445418275269728,-0.0299756158591734,-0.0110673196929309,-0.0243379647542102,0.035520342469651,-0.0946698869055802
"Raw11",-0.04824960558441,0.0112025347317492,-0.00574839754934669,0.00662482878165406,0.000969448922077416,-0.0282782612017723,0.0154934044132434,-0.00135213944720286,0.000252872631150117,-0.00798359082484538,-0.0917947843539054,0.0256858280630504,0.0224218986340919,0.0310440170706656,-0.0111276771893823,0.0778853835551823,0.0207446038628054,-0.00854844883096368
"Raw12",-0.0153571165425243,-0.0258751412699949,0.0139028301209426,0.0233028202507037,-0.041194859856309,0.0181453353213873,-0.0653095835082087,0.0402114553188863,-0.0363193154721182,0.0171822025703869,-0.0316423947625499,0.0679549526092848,-0.0510357355053881,-0.0271107690831397,0.0518462030120334,0.00909228254972412,0.0515896724954835,-0.00200775980379379
"Raw13",-0.133892848729534,-0.0969715891140412,0.0841747182657649,-0.0282219804226287,0.03292981461118,0.0216546029655339,-0.0261013497141467,-0.122525232110703,0.0994927191026419,-0.00579146373318105,-0.0734435719546438,0.00619788474013004,0.00626898307744283,0.0529595468385641,-0.0739496782394963,0.042654308536664,0.0236148638170252,-0.0218786145461595
"Raw14",-0.0312553891379236,-0.0462560825664182,0.10617114744502,-0.0761550002767198,0.00270194868015124,-0.0819468674040956,0.114874334564824,-0.0533968579976757,0.0242929263758574,0.0847688240027539,-0.0530626242959026,0.00430588204493268,0.00470042234825049,0.0412725623459703,-0.0645395122969593,-0.0409493061833357,-0.0226172134647208,0.00375162517833787
"Raw15",-0.0449777283656007,-0.00338383782827021,-0.0311928310539038,0.0614251365152906,-0.0651191126658754,0.00968484823122357,-0.0243990762661339,0.000462901608958702,-0.0329264555932417,-0.0141033748046051,-0.0487343710239831,0.00585745487147283,-0.0788609830181656,0.0405423918558739,-0.0584901350193275,0.00351800616732111,0.0174615589858164,-0.0142101449599595
"Raw16",-0.0414924892264233,0.00182252739907254,-0.00221733738983478,0.0140524087665047,-0.0464020619235876,-0.0203385973739114,0.0219136596480314,-0.0291778944014536,0.0428792578901969,0.0344926289376375,-0.0497140825235467,-0.0141181586124684,0.00275019843849974,-0.0107122522137672,-0.00174579427284682,-0.0291275069808844,0.00887412644422623,-0.0266478361072803
"Raw17",-0.0323903252452577,-0.0199836537860664,0.0248530306698637,-0.0741906971781024,0.0497159385323509,0.0473725943231843,-0.0225488662695553,-0.00395034264913768,0.0103469884116477,0.0449891859697417,-0.0286802787602117,-0.0342691336575148,0.00297632494865036,-0.0668173268312147,0.0929296753212162,-0.047224211569618,-0.0200918017305991,0.0108517456434983
"Raw18",0.0128625381139927,0.0183226238943217,0.0208778522502844,-0.0961638740450357,0.0816650012289343,-0.00568737835745465,0.0338052769761641,-0.0324872937002378,0.0292638392175215,0.0476892573454407,0.0250240288761884,-0.0110244168719583,0.0350159263933818,-0.00549802496861378,-0.0515505953183732,-0.00326269384956844,-0.000958741452719377,0.016936569457387
"Raw19",0.0151363912475212,-0.0680673532331612,0.0491589659087575,0.0214839499674222,-0.0597916812307449,0.0454046121994196,-0.0265646327148834,-0.0241685203495614,0.00852436182965107,0.0256166270409985,-0.0349434429976358,-0.00903743430564548,-0.0347816036767506,-0.0654424057240781,0.0551264783583241,0.0111413815120205,0.00474893916413968,-0.0115101960768508
"Raw20",-0.0471226242705544,-0.000574810034021793,0.00976415563056874,0.0601245775844477,-0.00442736147216992,-0.0882248436893634,0.056486944075942,-0.074574460225671,0.0791951791972576,-0.0546116056090136,-0.0162953243404026,0.0387381181811111,0.0506319444134192,0.0320898310146775,-0.0522287209208874,0.090740998283525,0.0253645487359396,-0.0171533591903169
"Raw21",0.0334001855315191,-0.0432842375370765,0.030929294282743,-0.0140839043032259,0.0351193469669225,0.0446489744538675,0.0385809657593813,-0.00676036111656917,0.0237043730614431,-0.0241356798441989,0.113965639842926,-0.0624302676966193,0.0334694743350977,-0.0393904507005482,-0.010086116131195,-0.0493278392489988,0.00111178227139363,0.0146039850516845
"Raw22",0.0365929945390253,-0.0520954377137985,0.0363913070189433,0.0209248149165573,0.0226804730724035,0.0537821225473627,-0.049450138561311,-0.03312246192734,0.0432127923934111,-0.0221868966556995,-0.0185760890546438,0.0308993786710657,-0.0425234478223975,0.0520177016145402,-0.062338674010216,0.052927397109742,-0.0376825849456091,0.0824951363545396
"Raw23",0.065732887600932,0.045390513627877,-0.0335780028246253,0.0153563839092721,-0.00592555250299863,-0.0331695694756008,-0.0164201464049953,0.0112662958800546,-0.01118380016769,0.00222319065404278,-0.0341515672304702,0.0410055090312103,-0.0680624643223433,-0.0294588347833726,0.055025215775193,0.0246180178522778,0.0394859148260503,-0.00832398039368367
"Raw24",0.0143354105393218,0.031267250500665,0.0107650320914228,-0.0527299159148883,0.0430743672313928,-0.0525474159826202,0.0170210084541401,0.0331887294257669,-0.0603598506246796,0.0151012993125556,-0.0749847581081469,0.0549246089327756,0.0191214383749994,-0.00316977664973052,-0.0131470612843915,0.0172126165610581,-0.00940933494382872,-0.0165743573750982
"Raw25",0.0228674184390728,0.00269169486183962,0.050897433366269,-0.0597398991869392,0.0877632543954161,-0.0820508558462696,0.0454361362017918,-0.0311385148292751,0.0116371490402968,-0.0553675531504901,0.0303039984687661,0.0882856300246565,-0.00212405525505587,0.00510271199884094,-0.0314152132184964,-0.0199051376684792,-0.0387395207730505,0.0494560990790561
