"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"Raw0",-0.0401853850071057,0.0335918082555984,-0.048400580418787,-0.0513685901824898,-0.0208677608049034,-0.0123369534677698,-0.0632213619234072,-0.0712388090241601,-0.0059588817141554,-0.0149981871942993
"Raw1",-0.0192313776102978,-0.0010499298294591,-0.0577085223949439,-0.0296162675036929,-0.0257860472995811,-0.0106861375068763,0.0110019170383443,0.017506451796654,-0.00169369180145136,-0.0213734618932574
"Raw2",-0.0408665964330852,0.00990752936508943,0.0340644372779608,-0.0406251736789209,0.0289247968308624,0.0068916255264844,0.0297046654276105,0.0361212176532871,-0.0624414684246592,-0.017625486868611
"Raw3",0.0344862133839379,-0.00146711547258494,0.0872434443133667,-0.0681409443407861,0.037800250741091,-0.026496438010302,0.0789789621389122,-0.0443542185787803,-0.0105658089948865,0.0112966316154431
"Raw4",-0.028414317203589,-0.0914533564960484,-0.03067643187911,-0.0956569385923313,-0.0242198882323283,0.0550710421922537,0.0699565903190542,-0.0130572103060515,-0.0101301203360159,0.0641753221831907
"Raw5",0.0226832036428605,0.0507969141262953,0.0235777320571866,-0.0461835199957122,-0.000786111379898247,0.0270170229036279,0.0221722009355975,0.00573093966243397,0.0351015579962206,0.0201787657752282
"Raw6",-0.0253124091687698,-0.0471100456327976,0.0823989765424363,-0.0668984498025278,-0.0420128284864698,-0.044498076899784,-0.0837962030076639,-0.0761611599009133,0.0614347855586705,-0.0618144958686172
"Raw7",-0.0253603425435284,0.0147638905215302,0.0621121298152385,-0.0144903819498487,0.0301297644393226,-0.00723083532221161,-0.0201517344386337,0.0230019255673456,-0.0944536364531511,0.03475980457858
"Raw8",0.00208991294410176,0.0483833805776374,0.107450299280083,0.0176317057424698,0.0200133611409228,0.0245941019576404,-0.0527872297129749,0.0184489328845103,0.0119966471587701,0.0759643121196277
"Raw9",-0.00156798025033724,0.0884790214244549,-0.012094111442084,-0.028175226240337,0.0420653606470071,-0.0114413622007293,-0.00743647669193301,0.0556929621725168,-0.0434151630766827,0.018984859090571
"Raw10",0.0461253507446187,0.0262767798758844,0.0480946365926711,-0.0793885433855878,0.0705351238274467,-0.0665713495996365,0.0236090737800462,-0.0174596502633696,0.0018202685801534,0.0591845592426394
"Raw11",0.00549834118602285,-0.0486212919659649,0.00539746838054213,0.0562812744949354,-0.0134132020113528,-0.0136881549159427,-0.0226239299324345,-0.0285974984938098,0.0099108063393793,-0.05638353348737
"Raw12",0.0185355939783762,0.00493740570226309,-0.0382044946274687,-0.0707328027063465,-0.0256938892114943,0.0659019341522424,0.000147120297164057,0.0416206372008876,-0.012616373475949,-0.0536156820772685
"Raw13",0.097117288940927,0.102340615538403,0.00819005415524295,-0.0477278507719641,0.0219824546243861,0.04079442183657,0.0576839687599469,0.0616189613418231,-0.0680381375897652,0.044790026962672
"Raw14",0.0588359848635704,0.0140725448536389,-0.0579431687123453,0.00803626566929501,0.049021098068939,0.0572702992715876,0.0450998485163096,0.0402372985637209,-0.060197118811871,0.0635131858112828
"Raw15",0.0682645526561334,-0.00444050008216082,0.0360469475293146,0.067842277854267,0.0277183905807018,0.0152474737308152,-0.0473061602875203,0.0069582628963763,-0.000717214838073191,0.0464410420283072
"Raw16",0.111746358905735,-0.0153875616728129,0.00677784868780807,-0.0304250016106708,0.0395924958193186,0.044883116203776,0.0445749319162377,-0.00653305452170982,-0.0461545596810853,0.0979732027865775
"Raw17",0.00652196248961405,0.0014903971768848,-0.0356895545990564,0.0445485037638603,-0.0822699054071774,0.0484052363715123,0.03060487627908,-0.0335793421054076,0.038632479723067,3.64526117891788e-05
"Raw18",-0.0275605781555847,0.0645229105915992,-0.0195374966684674,-0.0276851745610904,-0.0911585898775713,0.0288135119876505,0.0185351966801006,-0.0480461831769473,0.0578159564308545,-0.105678274573312
"Raw19",-0.084410415684371,0.0543714215261684,0.00675966188607516,-0.0166396769252426,-0.0657506507613947,0.056101387466313,-0.017908383696559,-0.041200164800308,0.0172387827685095,-0.0129505591608929
"Raw20",-0.0306387253588463,0.0285577188810339,-0.0669698527442253,0.0110793836220501,-0.00429526029941114,0.0116119486817704,-0.0513932905704734,0.0382917686204404,0.0442414287559056,0.00484384045915781
"Raw21",-0.00813951722012114,0.00725194244718007,-0.0921939247562614,-0.0631121270325728,0.0306007984654254,0.0279158185640171,0.0445615233262158,0.0294437917256364,-0.0359801395397108,-0.0228080625230641
"Raw22",-0.0151348222340836,0.00834962006969287,-0.00138872385809942,-0.0169496902911591,-0.00740164162155887,-0.00969108564953681,0.00161163030637204,-0.0676853046453711,-0.0169726058721758,0.0583472931669549
"Raw23",0.0654661070577362,0.0662208256728333,0.0172220670925578,-0.0291436168778464,0.0618426776302469,0.0415904870111267,-0.0455924552812348,0.0334069233476654,-0.0376711970111853,-0.0261634525548266
"Raw24",-0.0376774411093095,-0.0353478029797978,-0.0280289057110861,-0.0466942328308165,-0.0586869397241526,0.00262293072802706,-0.00974090825060496,0.0179726508642787,0.0400721470493666,-0.0674132359594364
