"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"Raw0",-0.0401853850071057,0.025937837781709,-0.0397845253794145,-0.0529066297193437,0.0410920007601837,-0.0669259273364157,0.0399085892690708,-0.00452940675648804,0.0159094454323505,-0.0177608092490074
"Raw1",-0.0192313776102978,-0.00295930948400732,-5.85403097892426e-05,-0.0656581148447256,0.0429846105251291,-0.017305165825255,0.0391666645686509,-0.0165255807035977,-0.029555527367615,0.0432211480946082
"Raw2",-0.0408665964330852,0.0139178260340588,-0.00498056647085309,0.0429115320877361,-0.0230740492907075,-0.0233868733330225,0.0490421396797859,-0.0111073697908606,-0.0476504940203124,0.00186126696662
"Raw3",0.0344862133839379,0.00397507306422123,0.00497494723737779,0.0990965526561612,-0.0715087153630348,-0.0813866534823318,0.0551108524952262,-0.0210402079410686,0.0504987336199973,0.0314646604029059
"Raw4",-0.028414317203589,-0.0875408796504428,0.092909279929771,-0.0348128519695364,0.0226801368412,-0.0955516645411598,0.0843807081277697,0.04332254184908,-0.0718465407390583,0.0640780565443479
"Raw5",0.0226832036428605,0.0533867176100241,-0.0476223093119638,0.0182226314124446,-0.0267619516894104,-0.0453814332282404,0.0458763357215907,0.0363677575542138,0.0273284020945098,0.02346167708626
"Raw6",-0.0253124091687698,-0.0578367416311245,0.0362214479422937,0.0677251862554065,-0.0881168951531705,-0.09035724870153,0.0496932733869942,-0.00275842005219937,0.016139159898016,-0.0650383432456722
"Raw7",-0.0253603425435284,0.0191504948020302,-0.00873289925978863,0.064995651137445,-0.0522832521309654,-0.001411561815752,0.0185069828244214,-0.00312435137684443,0.00902625819838886,-0.0448482771701265
"Raw8",0.00208991294410176,0.0480767044471864,-0.0470381412669389,0.108695548708938,-0.09334493396496,0.0227201384495458,-0.0165655434625886,0.0297437264683859,-0.0349289327140484,-0.0739327379186856
"Raw9",-0.00156798025033724,0.0947121346502464,-0.0791779131294352,-0.00454768189849035,0.0192262571398763,-0.00899639717448946,0.0389468588795181,-0.0265866764321469,0.0349962239366128,-0.0292447255808992
"Raw10",0.0461253507446187,0.0337825764444889,-0.0195453628917656,0.0680872968594942,-0.0263433175987927,-0.085691915308481,0.0687122664980428,-0.0775317209829383,0.0682230851310837,-0.0264664331683582
"Raw11",0.00549834118602285,-0.0519142285791352,0.0437464189771754,0.00342334262800678,-0.00650031061473727,0.0424710315325326,-0.0607146388520825,-0.0108657375859933,-0.0316174004027319,-0.0217577728502318
"Raw12",0.0185355939783762,0.00817402983078172,-7.10148578577785e-06,-0.0511639919644039,0.0245667089769221,-0.0548116014201577,0.0781837608303257,0.0735536350557946,0.0184478083831426,0.0120767061184907
"Raw13",0.097117288940927,0.114118545431867,-0.0877719638257418,0.00359032685153219,-0.0127523427422922,-0.0268019597039023,0.0574842309563838,0.0241308197365862,-0.00893656360397685,0.0351703125593432
"Raw14",0.0588359848635704,0.0258559880361641,-0.002656384522622,-0.0429209308555266,0.0687698291399942,0.0211105203740509,-0.0029333143592952,0.0111558639192106,-0.06254595933229,0.00958596127930186
"Raw15",0.0682645526561334,0.000149148969954405,0.00730694376049713,0.0384868240680104,-0.0275611769304653,0.0611680277876198,-0.0715435689334639,0.015800139411233,0.0239759385794913,-0.0587180810649445
