"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"Raw0",0.0417265159490677,0.101560159448854,-0.101207481301633,0.00425031262283959,-0.00238218640726428,0.0277060620054784,-0.0289830487815179,-0.0262504515725086,0.0126565658834639,-0.0267449601198786,-0.00314187579892633,0.0444462202398316,-0.0179654942745266,-0.00658974112127186,0.00163751010928993
"Raw1",0.0240323468200757,-0.096346170047274,0.087207998736763,0.0201207984865026,-0.0294555020104668,0.0394369850896022,-0.0353299654020027,-0.0165945784188738,-0.0218565837363317,0.00838946690126558,-0.0268030007429435,0.0431867859692927,0.00277114219371985,0.0386026890639594,-0.0450433286241714
"Raw2",0.04633192667111,0.00661580716546674,0.0148803047351368,-0.0179295460103095,0.0161432556902507,-0.0462466619801454,0.0498682679678312,-0.00410545231841669,0.00707224156042073,0.0215127303949652,-0.0165087948359286,0.0310973935971786,-0.0142342067799266,-0.0313472763928286,0.0352661034064761
"Raw3",-0.0215356077242609,-0.0231604718252643,-0.00325094696096759,-0.0215828381518809,0.0273324790909598,0.0198133496525356,-0.0187718633175702,-0.0207419368337389,0.000323998740393747,-0.0267485486232611,0.0534379887875461,-0.0087721353692807,-0.0163828570670457,0.00413497723075763,0.00209589723037168
"Raw4",0.0686308676649296,0.00769732255807252,0.00567199894070071,-0.0549335725192936,0.050941040588092,-0.0175206438400309,0.0136598180590987,-0.00167853050087535,-0.0234764614368564,0.0140258536731579,-0.0127483189080593,0.0251880558331638,-0.0916446093223157,-0.126892841804676,0.12244146347217
"Raw5",0.0127965905676498,-0.0607825145089888,0.0681117707221834,-0.0353066908297654,0.0327502648968223,0.0308221037424682,-0.025101067031944,-0.020579780850892,0.00882306643905832,0.0238136190253365,0.00171793851414509,0.0629303275322892,-0.027267279719369,0.00513428764907337,0.00315091691333769
"Raw6",0.0976385455479668,0.0123862127597874,0.00286697091384226,0.057188995785342,-0.0539229459330538,0.0326810965691899,-0.0277588669290007,-0.0388051431008298,0.0260001996950992,-0.0667075335373233,0.0222224456583139,-0.0277365206250236,0.0359951528748818,-0.0321632366799715,0.055474234680057
"Raw7",0.050576079774755,-0.0740127747266213,0.0667381221629351,0.00262198515435256,-0.000268117401515964,0.089814592087431,-0.0887680521526996,0.0454782054147577,-0.0185687928208775,-0.000693080793671874,0.0163505615488633,0.0458171794672459,-0.0494186754415186,0.0676081138857627,-0.0736508087000489
"Raw8",0.000733831132967352,0.0239181346354498,-0.0493638988278199,0.111921261787558,-0.107174667930552,0.043115111581891,-0.0480115122257799,0.0207552296578066,-0.0331834417567555,-0.0307417975806967,0.0482423158710814,0.00938517817224622,-0.0158566580996748,-0.0443918173833299,0.0156668725352675
"Raw9",-0.00115405551259202,-0.0317537927061229,0.00702952450305667,0.0420858512699608,-0.0528636965391448,-0.0103888783789524,0.0123161923690173,-0.0242739567913132,0.0040799105128162,0.0161235036102,-0.0599617312301487,0.0469726176969364,-0.0414044434416894,0.0534116772319582,-0.0339789306540979
