"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"Raw0",0.0110190404424265,0.0974029404466474,-0.103942200632921,0.0148258004300043,0.0108804258282289,0.0155428278180168,-0.015031542964143,-0.0163638751434152,-0.00329889978200041,-0.0377728812562968
"Raw1",-0.0140123121046465,-0.0887306095369809,0.0844573865784269,0.00277739855946252,-0.03645711201601,0.0489732557761071,-0.0447387032640734,0.0143070994097922,-0.071052203382334,0.0401088351352864
"Raw2",0.0228924822690741,0.00251138406566201,0.0176189674704571,-0.0156101646087248,0.0266920134703587,-0.0436865257540818,0.0753123936224016,-0.0151981845765303,0.00594546083179212,0.0189795306781436
"Raw3",-0.0887316719480077,-0.0216705191462371,-0.00700903354506759,-0.0132460762554896,0.028392481680847,0.026412369118646,-0.0106752101440322,-0.0382043761787427,0.0412631641027908,-0.00318014501651717
"Raw4",0.0491119706823666,0.0163951247256368,0.00640008699728694,-0.041881459044266,0.0364613799916988,-0.0165028769636009,0.0695981485294045,0.038912114902456,0.0248108114064815,-0.0928322421259717
"Raw5",-0.0391973914094156,-0.0616867302388481,0.0597316576945552,-0.0385985488304356,0.0150378863991329,0.0471530798642128,-0.019613288055437,0.0450027888592809,0.000516645484049524,-0.00782077361696606
"Raw6",0.0986242780475035,0.0181936606926667,-0.00570242489597305,0.0765580267314374,-0.0620108181471391,0.0346347065065858,0.0162911310987696,-0.071984844643289,0.0316622877235497,-0.0749169210332471
"Raw7",0.0291079960248334,-0.0681282715374941,0.0484815073559613,0.00343200904569654,-0.00177070668618357,0.0885255551602705,-0.112719972782627,-0.0144953404089281,0.0335992777992284,0.0187088087351123
"Raw8",-0.0561488997194902,0.0201268377742115,-0.0563261788195672,0.0996197879938724,-0.0888227714886054,0.01765249048941,-0.0258773419922968,-0.0421030042780398,0.0244224286770432,-0.0157406513499151
"Raw9",-0.0576204034510486,-0.0411414118346273,0.0128410651768467,0.0300207632867124,-0.0571138018569297,-0.000794122703145809,-0.0252953363300144,0.0129396264366077,-0.0562897092587446,0.0446282075280661
"Raw10",-0.0126105898440948,0.114675001292614,-0.110003188933259,0.0168237682452995,0.0125997405209405,-0.0573874120953487,0.0441073465983678,-0.088636836103711,0.0455619410112935,0.0186398138488423
