"V1","V2"
"Raw0",0.0110190404424265,0.101106479987995
"Raw1",-0.0140123121046465,-0.0877156394041611
"Raw2",0.0228924822690741,-0.00512179035817821
"Raw3",-0.0887316719480077,-0.0113295364161939
"Raw4",0.0491119706823666,0.00362934149716562
"Raw5",-0.0391973914094156,-0.0627903396984937
"Raw6",0.0986242780475035,0.0149016192428882
"Raw7",0.0291079960248334,-0.067866779211762
"Raw8",-0.0561488997194902,0.042186385642829
"Raw9",-0.0576204034510486,-0.0232599030627018
"Raw10",-0.0126105898440948,0.118057195132116
"Raw11",-0.0531776200192556,-0.0110770694589356
"Raw12",-0.0214246908597689,0.0150843419055403
"Raw13",-0.134172422372182,0.0840690272399962
"Raw14",-0.020729206324492,0.0642713465565895
"Raw15",-0.0444919371349072,-0.0281403423287331
"Raw16",-0.0384583041396164,-0.00543675442331644
"Raw17",-0.0299251258368027,0.0467467056642652
"Raw18",0.010959429183122,0.0174210392790959
"Raw19",0.0254968289907895,0.0306919721276313
"Raw20",-0.0477143273612582,-0.00524835259910623
"Raw21",0.0207152105163558,0.0358656614706429
"Raw22",0.0192077287556784,0.0392403068624119
"Raw23",0.0692892639688843,-0.0409994954324638
"Raw24",0.0255849174126102,-0.0220286841884262
"Raw25",0.028390317014015,-0.00764848076487843
"Raw26",-0.00371126050565191,0.00434584808283478
"Raw27",-0.00868740016931509,-0.017279541462192
"Raw28",-0.00507999019263808,0.0200495391342626
"Raw29",-0.00890726599956621,0.0707551321881821
"Raw30",-0.0152484118210858,-0.0281329097599429
"Raw31",-0.0553436320240999,0.0670955647610689
"Raw32",0.00600891867725092,-0.0397832037166564
"Raw33",-0.0960388267822225,-0.00843620348207845
"Raw34",-0.0020680534402546,-0.0253118999934772
"Raw35",0.0214749696711292,-0.027649089953914
"Raw36",0.00521497044006593,0.00678930893320687
"Raw37",-0.0345778571509654,0.0108414456534582
"Raw38",0.020131181294412,0.0571881269693683
"Raw39",-0.0326845582324026,0.0140280642907987
"Raw40",-0.0822618728615079,0.0549891914040385
"Raw41",0.0212195798401735,-0.0478093967753628
"Raw42",-0.0883261370571704,0.0299589970567874
"Raw43",0.0314585596724032,0.0693419944008943
"Raw44",0.0707909331781118,-0.00110196325469643
"Raw45",-0.0020425394005678,0.0132347695231672
"Raw46",0.0350325942374768,0.0298970126152184
"Raw47",0.0948953000915048,0.0861156172895333
"Raw48",0.0233824408746629,-0.0666745896179499
"Raw49",0.031584751048305,0.0125331323513061
"Raw50",-0.0368140598509951,0.076529630779144
"Raw51",-0.0197138302610772,-0.00946771448247651
"Raw52",-0.0699833095046173,0.0130155891002701
"Raw53",-0.0585944902149367,-0.0327935540261266
"Raw54",-0.0506988394195463,0.0517507825196289
"Raw55",0.00187112324074745,0.0293525158383098
"Raw56",-0.0119004638973427,0.0492381425418297
"Raw57",0.0816618094804261,0.0301997453802682
"Raw58",0.0153739432830615,-0.0104883589154036
"Raw59",0.00173943268761848,0.074921457201353
"Raw60",-0.0136590424292622,-0.0586221584446333
"Raw61",0.0582146345701,-0.0248606244987174
"Raw62",-0.00327717978852289,-0.00700253476664038
"Raw63",0.026078550528024,-0.0198632603701408
"Raw64",0.0331654627529368,-0.00169356152981029
"Raw65",-0.0129998523313703,0.00214919930997976
"Raw66",0.015642491470455,0.0792998713927907
"Raw67",0.0271667047287433,0.0867018080464035
"Raw68",0.0237615377382666,0.0363714073609816
"Raw69",-0.0555049037860291,-0.0249368182115988
"Raw70",-0.0867090223532585,-0.0676349214227463
"Raw71",-0.0324361780119813,0.0153610760065469
"Raw72",-0.0378559778269111,0.0217158456924463
"Raw73",0.091129279236934,-0.0129383388999994
"Raw74",0.0101950630859577,0.0256012128490062
"Raw75",-0.0416630889004236,-0.0836301697636986
"Raw76",-0.00945724583766266,-0.0266481626338957
"Raw77",0.00397572206264691,0.0341156170861532
"Raw78",-0.00924133808783146,-0.0176530154348418
"Raw79",0.087787878728905,-0.0300166299459662
"Raw80",0.0528091672487714,-0.00875176132464846
"Raw81",0.00723506549532025,0.0159625114157018
"Raw82",0.025567033170433,-0.053089643183408
"Raw83",0.0444269479987803,0.0122125078499932
"Raw84",-0.0399034590274299,0.0308935946239104
"Raw85",-0.0170066887497347,-0.0401505815221783
"Raw86",-0.0276020081801272,-0.0314740329521249
"Raw87",-0.0469239853489025,0.0245075472230368
"Raw88",-0.0055013693653285,-0.0189084270724948
"Raw89",0.049815496740896,0.0329097048927361
"Raw90",0.0128199453155474,0.0187848167204307
"Raw91",-0.0338211045566427,-0.0304501595745215
"Raw92",-0.0126847359450092,0.0038058377366505
"Raw93",0.00105504450024802,0.000617049672380232
"Raw94",0.0404480772463667,0.0198540228254748
"Raw95",-0.0044436302939661,0.0518810966266622
"Raw96",-0.0158854265973936,-0.0678985457997572
"Raw97",-0.0447817220325648,0.0456834216412549
"Raw98",-0.00655322181503718,0.0551054554123919
"Raw99",-0.00761728489323547,-0.0192024765049487
"Raw100",-0.0293299254966598,-0.0260627422396191
"Raw101",-0.027946637929368,0.0229874283911445
"Raw102",0.0485859959043901,0.0200053484146981
"Raw103",0.00609739397660685,0.0209577740400981
"Raw104",-0.0748356092186458,-0.00604756712013783
"Raw105",0.00570040974851561,-0.0107879821715148
"Raw106",0.106917122007628,-0.0447802104033096
"Raw107",-0.0337524159980859,-0.0826430492366821
"Raw108",-0.0396794703061459,-0.0148515548888215
"Raw109",0.0499820126336707,-0.0155814999623346
"Raw110",-0.071181049378623,-0.0329259630133214
"Raw111",-0.0435875296736282,0.0559065030121024
"Raw112",0.0299766143709036,0.0350179822557945
"Raw113",-0.0436431246396742,0.00433022762601325
"Raw114",-0.00756640008203401,-0.00623488843892471
"Raw115",-0.0701945319595439,-0.0133806187198821
"Raw116",-0.0217622910532367,-0.0166808613425541
"Raw117",-0.112614542007748,0.0249297091031682
"Raw118",-0.00362509221856622,0.00384189258783236
"Raw119",0.0558814215145092,0.00897048922116832
"Raw120",-0.0314557617547928,0.0290360040613778
"Raw121",-0.000338820747515281,-0.00554230501567717
"Raw122",0.038236303270237,0.015069928848328
"Raw123",0.0709913888107608,0.028706330940496
"Raw124",-0.0358535351577982,-0.0208978003121985
"Raw125",-0.0227642931643243,0.0418537780906639
"Raw126",0.0295511648983354,0.0307738100951006
"Raw127",0.0254900474278995,0.00688477982247481
"Raw128",-0.0540541864507121,0.00187336388906512
"Raw129",0.0728056371206592,0.0255391629298492
"Raw130",0.00991298125244494,-0.00279241476588525
"Raw131",-0.0671398306527212,0.00768337971944869
"Raw132",-0.0195428084053669,-0.0506769375069508
"Raw133",-0.0328429300999615,0.0671875694929935
"Raw134",0.00998911712483163,-0.00339008448510482
"Raw135",0.0155248111066731,-0.0172529541828415
"Raw136",0.0608704092458087,-0.00954536286553828
"Raw137",0.0130155705302087,-0.00901765487173439
"Raw138",-0.00764311522132126,0.0212370570622823
"Raw139",-0.0460547355244911,0.0261446597337443
"Raw140",-0.0294401834666633,-0.0144205561262953
"Raw141",0.0628215078376211,-0.104407541694265
"Raw142",0.0689350103171867,0.0258392053520304
"Raw143",0.0314122524832289,-0.0193062459827576
"Raw144",0.0282567582586101,-0.00929365420333458
"Raw145",-0.0437065738979815,0.0685980448890391
"Raw146",0.00965653204369432,-0.00572198150007081
"Raw147",0.0584356037128297,-0.0464428150202296
"Raw148",-0.0081931711356655,-0.00560405925216252
"Raw149",0.0607385398469534,-0.0573879862404608
"Raw150",-0.00457421980888123,-0.0680419422514631
"Raw151",-0.084199115112876,-0.0433514712970649
"Raw152",0.0183157033264783,0.0352426080141533
"Raw153",-0.0193159997186984,0.077058877129318
"Raw154",0.0100202959568755,0.021436373797447
"Raw155",0.000840985422373514,-0.0049378653330744
"Raw156",-0.0181361192385558,-0.0326720295084187
"Raw157",0.0287562715889888,-0.0941987413200783
"Raw158",-0.0301805316296132,0.0220226191897463
"Raw159",-0.0943277997729303,-0.0212015137069015
"Raw160",0.0296689187741219,-0.000855463656975051
"Raw161",-0.0537385193795591,-0.0375774749798508
"Raw162",0.00266634259026985,-0.00901520577764453
"Raw163",0.00172558300849986,0.0209348460524049
"Raw164",-0.0499206357378523,0.0399667446792902
"Raw165",0.000845638080552046,0.00776702501245514
"Raw166",-0.00962241433431979,0.0799394779083705
"Raw167",-0.0473664143656898,-0.0244832930733126
"Raw168",-0.00265223613323714,0.0996890239157903
"Raw169",-0.0609723030754391,-0.00988999358298578
"Raw170",-0.0580142629315932,0.0478402503514257
"Raw171",0.060090266285742,-0.0229546460439135
"Raw172",0.121487161868948,0.0327165085763285
"Raw173",-0.00652236912011536,0.0237077202379493
"Raw174",0.0703770175826977,0.00449225185840447
"Raw175",0.0420563816692082,-0.036093710719697
"Raw176",0.0718269221818104,0.0328854333406184
"Raw177",-0.101911583877296,0.0521562563361962
"Raw178",0.0339775507044295,0.00241555583577044
"Raw179",0.028731393511909,-0.037080906803594
"Raw180",-0.0190997536586653,-0.013856874970107
"Raw181",0.0386403276165323,-0.0311585745734563
"Raw182",0.0391505229610559,0.0147460141246555
"Raw183",0.0301153914019126,0.0265458261053029
"Raw184",0.0244435000279909,-0.053250425745586
"Raw185",-0.00576754773788277,0.0141108762303079
"Raw186",0.018099402214558,0.0481935541118828
"Raw187",0.0574971131744306,-0.0610755355636414
"Raw188",-0.0416126897492456,0.040854962670965
"Raw189",-0.00495804582610284,-0.0274408683086382
"Raw190",-0.00217940180707247,0.0443231472972978
"Raw191",0.0266929852396207,0.023544314147573
"Raw192",0.0559968894394298,0.054084478558866
"Raw193",0.0389814836420667,0.0656576879231891
"Raw194",0.064743034213807,-0.0198874251547387
"Raw195",-0.035555183769359,-0.0534418851708006
"Raw196",0.040261195512744,-0.0450629791662446
"Raw197",0.00902267524084059,0.0701969597311161
"Raw198",0.0714733899974697,-0.0209544790057847
"Raw199",0.0468341666392979,-0.0158459205395546
"Raw200",-0.0839088539958063,0.0788937714321589
"Raw201",0.0342976342110458,0.0812537487808149
"Raw202",0.0218545453443133,-0.0146970181885288
"Raw203",0.0508703851192652,0.0748791121241792
"Raw204",0.00044374101184106,-0.0651166124534191
"Raw205",-0.0218192839141816,-0.0687157080014029
"Raw206",-0.035678289003914,-0.0388975880916505
"Raw207",0.0801363547869175,-0.0428626642407601
"Raw208",-0.00401546098955492,-0.0161002789059467
"Raw209",-0.00221857349146283,0.0520113090171971
"Raw210",-0.0140041504505135,0.0147288963276093
"Raw211",-0.0316281497078231,-0.00414400098241314
"Raw212",0.0247399864546796,0.0148401298460766
"Raw213",-0.0342441010387608,-0.0510151681630374
"Raw214",-0.00785180688691587,-0.0781611090214566
"Raw215",-0.0498283424466869,0.0838210303554128
"Raw216",-0.00603923195973711,0.00321890979339549
"Raw217",-0.00251723787139146,-0.072115056378
"Raw218",0.102071142836291,-0.0251959844189367
"Raw219",0.0337564396118355,0.0240063565609159
"Raw220",0.046073867960035,0.0526461769837855
"Raw221",0.00200542336172717,0.056267251122925
"Raw222",0.0732550479547666,-0.000895911951720814
"Raw223",-0.0493057275770441,0.05960699606353
"Raw224",-0.0363180621842601,0.0423848744026972
"Raw225",0.0922232071082957,0.0634930301047219
"Raw226",0.0380212944650804,-0.0601800868170905
"Raw227",-0.027158880381608,-0.0208578488437226
"Raw228",-0.0150074098888282,-0.0206086884755226
"Raw229",0.0554707786066909,-0.0417522948812881
"Raw230",-0.00219462467595161,0.0191741616602917
"Raw231",0.021027237991936,0.0151885452033816
"Raw232",0.0248898266907066,0.0121612736821902
"Raw233",0.0271882992845233,0.0427387575326673
"Raw234",0.06867003016932,0.0144663987782028
"Raw235",-0.0295202703462541,-0.0496769648798542
"Raw236",0.0136029957852495,-0.0340219308736867
"Raw237",0.00192536132976712,0.0188596730868951
"Raw238",-0.0656750785553127,-0.0225423374288677
"Raw239",0.0228017245893068,0.00638479185987147
"Raw240",-0.0379905983750511,-0.0157187734310141
"Raw241",0.0146672153252005,-0.00753520647962883
"Raw242",-0.00126900306564012,-0.0080577908079943
"Raw243",0.00668239263365835,-0.12394875240062
"Raw244",-0.114530112214177,0.0175098178382885
"Raw245",0.0446029732156823,0.0118240447073397
"Raw246",0.026198178521542,0.0471900625271011
"Raw247",-0.0672919612586898,0.0366158584611408
"Raw248",0.0287251743451661,0.0775324319354286
"Raw249",-0.0185492591976669,0.0313775039215985
"Raw250",-0.0472352419783443,-0.0133440089760195
"Raw251",0.0118815165882192,-0.00472416206300823
"Raw252",-0.106472321336505,-0.0706155228767181
"Raw253",0.0631687015767653,-0.0107180786472063
"Raw254",-0.027122722105733,-0.0297486427579462
"Raw255",-0.0203612862136421,-0.0303144981732632
"Raw256",0.0307992362071665,0.0603190761403282
"Raw257",0.0265786061294413,-0.0256553491110643
"Raw258",0.0356117152453926,-0.0686549184943043
"Raw259",-0.0266400443987457,-0.015191443732415
"Raw260",-0.0329148136415753,0.0414252033853648
"Raw261",0.0383448386238139,-0.0910851791903826
"Raw262",0.013003321632594,0.0368513608500393
"Raw263",0.0214139755842038,-0.0992694355422827
"Raw264",0.0211687060217708,-0.0167483301401588
"Raw265",0.0737980740960714,-0.00500889481329909
"Raw266",0.0196399241095209,-0.0533634510505016
"Raw267",0.0206466150628025,-0.0159564894107081
"Raw268",0.0786159843486897,0.00813534699191042
"Raw269",-0.0106464004031396,-0.0293993636050998
"Raw270",0.0632397308813911,0.00860183968524865
